uni,city,zip,latitude,longitude,admission,act,sat,under,cost,debt
Benedictine College,Atchison,66002-1499,39.572953,-95.111424,0.977767897,25,1120,1836,37663,19000
Gardner-Webb University,Boiling Springs,28017-0997,35.24732,-81.668141,0.67123696,22,1020,2688,37620,16618
Wesley College,Dover,19901-3875,39.16325,-75.527377,0.567007119,17,853,1431,37617,11000
Ursuline College,Pepper Pike,44124,41.494971,-81.466716,0.655080214,22,1014,694,37601,24500
Eastern Nazarene College,Quincy,02170-2999,42.271214,-71.011238,0.528675704,19,918,1054,37563,15750
Thomas More College,Crestview Hills,41017-3495,39.022963,-84.568923,0.932829555,21,982,1243,37459,20443.5
Texas Lutheran University,Seguin,78155-5999,29.573274,-97.984601,0.558707124,22,1020,1270,37444,19980
Concordia University-Texas,Austin,78726,30.420952,-97.836247,0.852941176,22,1021,1525,37413,16654.5
Heidelberg University,Tiffin,44883-2462,41.114337,-83.166581,0.750618812,22,1027,1096,37390,18000
O'More College of Design,Franklin,37064,35.920971,-86.868053,0.523364486,23,1050,169,37340,21990.5
William Jessup University,Rocklin,95765-3707,38.819494,-121.292968,0.758064516,22,1009,1131,37335,15500
University of Indianapolis,Indianapolis,46227-3697,39.709671,-86.134747,0.664802825,22,1018,4136,37238,20000
Christian Brothers University,Memphis,38104,35.127437,-89.983241,0.497083894,24,1105,1292,37216,20016
Dominican College of Blauvelt,Orangeburg,10962-1210,41.054111,-73.95234,0.628092243,19,872,1483,37205,17500
Aquinas College,Grand Rapids,49506-1799,42.960449,-85.626166,0.650855365,24,1090,1734,37132,18729
Rockford University,Rockford,61108-2311,42.270639,-89.019536,0.548028311,22,1009,1017,37127,18750
La Roche College,Pittsburgh,15237-5898,40.569777,-80.011977,0.939393939,20,926,1269,37094,19500
Concordia University-Portland,Portland,97211-6099,45.568242,-122.637944,0.526232742,22,1037,1243,36978,17053
Walsh University,North Canton,44720-3396,40.873295,-81.36911,0.806756757,23,1043,2257,36976,22000
Quincy University,Quincy,62301-2699,39.939235,-91.387928,0.889258029,22,1024,1075,36972,15000
University of St Francis,Joliet,60435-6188,41.533341,-88.096368,0.505632869,23,1064,1732,36919,20000
Edgewood College,Madison,53711-1997,43.058727,-89.422122,0.76217079,23,1048,1863,36879,19000
Houston Baptist University,Houston,77074-3298,29.694414,-95.515978,0.357271517,23,1054,2279,36782,12000
Fisk University,Nashville,37208-4501,36.16912,-86.805671,0.834512579,20,946,721,36781,19659.5
Dominican University,River Forest,60305,41.902834,-87.821872,0.606717226,22,1029,2149,36761,18750
Tabor College,Hillsboro,67063-1799,38.348606,-97.20096,0.856846473,23,1037,708,36750,15000
Carlow University,Pittsburgh,15213-3165,40.439851,-79.963927,0.907046477,20,941,1323,36704,21000
Hastings College,Hastings,68901,40.590448,-98.373641,0.696498054,24,1079,1135,36689,18250
Wingate University,Wingate,28174-0159,34.979384,-80.444465,0.750643842,21,1001,1941,36669,16000
Notre Dame College,Cleveland,44121-4293,41.506938,-81.516212,0.894997747,20,937,1820,36645,14000
King University,Bristol,37620-2699,36.585899,-82.156532,0.566810345,23,1042,2344,36619,18000
Pontifical College Josephinum,Columbus,43235-1499,40.119967,-83.01899,0.941176471,28,1280,129,36598,14886.5
Ave Maria University,Ave Maria,34142-9505,26.33711,-81.441082,0.516983305,23,1085,1019,36539,12640
St Mary's University,San Antonio,78228,29.451793,-98.564307,0.594581971,22,1033,2309,36504,21902
Concordia University-Chicago,River Forest,60305-1499,41.898574,-87.810009,0.538544185,22,1031,1491,36468,15000
Webber International University,Babson Park,33827-0096,27.838798,-81.532325,0.542787286,20,946,687,36402,9750
Malone University,Canton,44709-3308,40.826516,-81.383525,0.717407687,23,1045,1496,36369,18869
Indiana Institute of Technology,Fort Wayne,46803-1228,41.078338,-85.11795,0.705658944,21,965,6397,36187,9500
University of Mary Hardin-Baylor,Belton,76513-2599,31.066798,-97.463479,0.7990621,24,1064,3039,36180,16500
Avila University,Kansas City,64145-1698,38.912159,-94.591387,0.519758507,23,1038,1321,36178,19000
Saint Xavier University,Chicago,60655,41.707763,-87.713507,0.496368829,22,1008,2940,36152,18750
Limestone College,Gaffney,29340-3799,35.052919,-81.648033,0.519974635,22,1020,3039,36085,15461
Oakwood University,Huntsville,35896,34.756628,-86.661628,0.478652751,20,928,1878,36064,23500
Oral Roberts University,Tulsa,74171,36.050705,-95.954215,0.797619048,22,1010,2947,36011,21250
Kansas Wesleyan University,Salina,67401-6196,38.813923,-97.609476,0.614726027,23,1059,643,36002,15000
Northwest University,Kirkland,98083-0579,47.657743,-122.191505,0.961206897,22,1018,1453,35991,14200
University of the Incarnate Word,San Antonio,78209,29.468052,-98.467709,0.932111816,21,963,6325,35799,20000
McMurry University,Abilene,79697,32.429551,-99.750277,0.613967022,19,901,953,35747,15656
VanderCook College of Music,Chicago,60616-3731,41.836833,-87.629138,0.760869565,24,1109,108,35742,27000
Thomas Aquinas College,Santa Paula,93060,34.429009,-119.087141,0.827027027,28,1261,378,35716,16187.5
Holy Cross College,Notre Dame,46556-0308,41.699982,-86.253668,0.931623932,21,969,512,35688,12250
Northwest Nazarene University,Nampa,83686-5897,43.563181,-116.564792,0.650655022,23,1052,1300,35655,18750
Montreat College,Montreat,28757-1267,35.645844,-82.297522,0.46057572,21,1016,647,35580,18625
Pfeiffer University,Misenheimer,28109,35.484696,-80.283168,0.472332016,19,948,951,35538,15183
Wheeling Jesuit University,Wheeling,26003,40.070873,-80.690804,0.626297578,23,1032,1131,35527,16945
Upper Iowa University,Fayette,52142-1857,42.840293,-91.799663,0.699355762,20,950,4304,35524,14709
Fresno Pacific University,Fresno,93702-4709,36.725279,-119.731953,0.666228647,22,1010,2605,35508,16500
Oakland City University,Oakland City,47660-1099,38.339606,-87.351611,0.550445104,21,960,616,35500,10748
Southern Vermont College,Bennington,05201-6002,42.867031,-73.21866,0.937293729,17,849,441,35500,19250
Clark Atlanta University,Atlanta,30314-4391,33.748772,-84.412818,0.846692607,18,860,2567,35471,19500
The College of Idaho,Caldwell,83605-4432,43.652653,-116.676838,0.929025424,24,1076,1113,35456,19506.5
University of the Ozarks,Clarksville,72830,35.477785,-93.467924,0.889221557,23,1061,578,35438,12000
Nyack College,Nyack,10960-3698,41.086425,-73.931106,0.9936,23,909,1695,35426,12500
Graceland University-Lamoni,Lamoni,50140,40.615966,-93.924893,0.498386353,21,938,1415,35380,16000
Walla Walla University,College Place,99324-1198,46.047,-118.389771,0.57785672,23,1075,1639,35351,20500
Our Lady of the Lake University,San Antonio,78207-4689,29.425611,-98.54395,0.495195861,20,941,1556,35340,16000
Wisconsin Lutheran College,Milwaukee,53226-4699,43.036943,-88.022718,0.643249177,24,1079,1060,35337,18794.5
Multnomah University,Portland,97220,45.518218,-122.682518,0.566666667,21,1047,418,35313,19438
McPherson College,McPherson,67460-1402,38.371464,-97.6443,0.992792793,22,1005,619,35312,14500
University of Dubuque,Dubuque,52001,42.498027,-90.693568,0.77877326,20,941,1764,35300,16481
University of Sioux Falls,Sioux Falls,57105-1699,43.531574,-96.738229,0.972390572,22,1028,1082,35298,15500
Geneva College,Beaver Falls,15010-3599,40.773474,-80.352545,0.710577547,24,1072,1404,35261,19760.5
Muskingum University,New Concord,43762,39.996635,-81.737192,0.764413519,22,1009,1598,35175,18496
Benedictine University,Lisle,60532-0900,41.776395,-88.095948,0.771696638,22,1030,3750,35143,15187.5
Trinity Christian College,Palos Heights,60463-0929,41.669189,-87.784157,0.902158273,24,1080,1237,35139,20000
Bethany College,Lindsborg,67456-1897,38.5786,-97.673173,0.974481659,21,969,637,35126,12500
Bethel College-North Newton,North Newton,67117-1716,38.07525,-97.342572,0.490996399,22,1000,483,35106,15000
Simpson University,Redding,96003-8606,40.61331,-122.333048,0.573578595,22,1024,1065,35070,16300.5
Huntington University,Huntington,46750,40.89907,-85.499624,0.97109067,23,1034,1001,35059,21875
Northwood University-Florida,West Palm Beach,33409-2911,26.714688,-80.104138,0.5773906,19,981,669,35049,17784.5
Andrews University,Berrien Springs,49104,41.962914,-86.356866,0.368803419,24,1081,1629,35017,22500
Asbury University,Wilmore,40390-1198,37.862029,-84.662606,0.686982694,25,1135,1499,34962,18500
Crown College,Saint Bonifacius,55375-9001,44.885372,-93.743015,0.283965015,22,1016,1032,34943,13031
Mount Mary University,Milwaukee,53222-4597,43.072303,-88.030594,0.352664577,20,930,716,34931,21875
Cedarville University,Cedarville,45314-0601,39.750338,-83.812098,0.744921745,26,1187,3082,34902,19500
Lewis University,Romeoville,60446-2200,41.605432,-88.079032,0.619080539,23,1070,4605,34901,19492.5
Cornerstone University,Grand Rapids,49525-5897,42.979044,-85.595602,0.688387636,23,1051,2020,34889,16500
Bluefield College,Bluefield,24605,37.245681,-81.244879,0.979938272,19,907,897,34823,12500
Concordia University-Nebraska,Seward,68434-1556,40.914853,-97.089054,0.766106443,24,1067,1232,34816,18750
Mount Vernon Nazarene University,Mount Vernon,43050-9500,40.373859,-82.474667,0.759803922,23,1046,1706,34801,19582
Northwood University-Michigan,Midland,48640-2398,43.628996,-84.276276,0.5773906,22,981,2808,34733,17784.5
Silver Lake College of the Holy Family,Manitowoc,54220-9319,44.071038,-87.742961,0.474025974,17,820,296,34641,19000
Davis & Elkins College,Elkins,26241-3996,38.928693,-79.846391,0.582229581,21,986,839,34587,14550
Culver-Stockton College,Canton,63435-1299,40.130064,-91.526682,0.577150084,21,986,931,34565,15000
Hebrew Theological College,Skokie,60077,42.011055,-87.761119,0.928374656,22,1030,404,34558,5500
Charleston Southern University,Charleston,29406-9121,32.981986,-80.069288,0.586568231,22,997,2949,34528,15000
Greenville College,Greenville,62246,38.894751,-89.409178,0.55680156,23,1056,1055,34512,15000
Northwest Christian University,Eugene,97401-3745,44.047483,-123.079754,0.719101124,21,987,492,34496,16750
Westminster College,Fulton,65251-1299,38.847764,-91.954345,0.66344294,25,1114,943,34470,20000
Art Academy of Cincinnati,Cincinnati,45202-1706,39.108382,-84.497573,0.243407708,21,961,201,34457,20000
Indiana Wesleyan University-Marion,Marion,46953-4974,40.518495,-85.661991,0.950480629,24,1081,10218,34433,18918
Lakeland College,Plymouth,53073,43.841863,-87.884956,0.547024952,20,949,2232,34385,17774.5
Bethel College-Indiana,Mishawaka,46545-5591,41.677671,-86.191642,0.705349794,23,1040,1520,34378,17631
William Woods University,Fulton,65251-1098,38.857864,-91.949273,0.763020833,23,1042,990,34371,17409
Rocky Mountain College,Billings,59102-1796,45.796765,-108.553899,0.636118598,23,1031,903,34355,17000
Post University,Waterbury,6723,41.535334,-73.080525,0.870709382,14,855,6594,34350,8450
Viterbo University,La Crosse,54601-8804,43.802291,-91.244095,0.691418138,24,1089,2019,34310,21960
Mount Marty College,Yankton,57078-3724,42.874475,-97.409904,0.723557692,21,990,634,34249,19447.5
Watkins College of Art Design & Film,Nashville,37228,36.194659,-86.805888,0.263586957,22,1000,288,34118,19000
Schreiner University,Kerrville,78028-5697,30.03108,-99.131076,0.935278031,22,997,1001,34065,14250
Dallas Baptist University,Dallas,75211-9299,32.710017,-96.947006,0.462145676,23,1075,3357,34013,16191
Arizona Christian University,Phoenix,85032-7097,33.595117,-112.026211,0.567272727,22,988,620,33945,11000
Franciscan University of Steubenville,Steubenville,43952-1763,40.376086,-80.623094,0.779249448,26,1183,2065,33851,19500
University of California-Santa Barbara,Santa Barbara,93106,34.416281,-119.846404,0.363447233,29,1253,20237,33826,14500
Hampton University,Hampton,23668-0099,37.0199,-76.331108,0.290607508,21,999,3456,33798,21500
Spring Arbor University,Spring Arbor,49283-9799,42.206233,-84.551918,0.666413085,22,1035,2632,33787,20000
Cumberland University,Lebanon,37087,36.204243,-86.29966,0.464235624,23,1044,1167,33764,17643.5
Cairn University-Langhorne,Langhorne,19047-2990,40.165809,-74.909509,0.977987421,22,993,805,33730,21500
University of Saint Mary,Leavenworth,66048-5082,39.277308,-94.906935,0.474966171,22,1002,819,33706,19000
Tusculum College,Greeneville,37743,36.172558,-82.761716,0.719353567,22,990,1746,33700,20200
Lyon College,Batesville,72501,35.778934,-91.628115,0.614241803,25,1109,690,33605,12000
Carson-Newman University,Jefferson City,37760,36.122224,-83.492183,0.62397541,24,1083,1701,33563,14750
Siena Heights University,Adrian,49221,41.905952,-84.015144,0.742394822,22,1025,2254,33484,14904
Drury University,Springfield,65802-3791,37.219757,-93.285773,0.744122966,26,1185,3790,33480,14500
Bethany Lutheran College,Mankato,56001,44.166485,-93.990744,0.776805252,23,1070,503,33417,16250
Oklahoma Wesleyan University,Bartlesville,74006-6299,36.717752,-95.954124,0.626981059,22,999,1153,33336,16666
Pennsylvania State University-Main Campus,University Park,16802-1503,40.800732,-77.861644,0.626517667,27,1089,39958,33326,20950
MidAmerica Nazarene University,Olathe,66062-1899,38.872608,-94.782586,0.689940828,22,1010,1322,33252,14485
Grace College and Theological Seminary,Winona Lake,46590-1274,41.226473,-85.813931,0.801240402,24,1110,1478,33215,17750
Oklahoma Baptist University,Shawnee,74804,35.359949,-96.934334,0.604779412,26,1171,1824,33213,12375
Alderson Broaddus University,Philippi,26416-2035,39.158067,-80.047728,0.425773196,22,990,1024,33206,9500
D'Youville College,Buffalo,14201-1084,42.902263,-78.890369,0.687933426,23,1035,1796,33178,20000
Texas Wesleyan University,Fort Worth,76105-1536,32.733314,-97.279631,0.380592992,21,984,1676,33163,17875
Olivet College,Olivet,49076,42.440908,-84.922864,0.614314115,21,917,945,33155,18750
University of the Cumberlands,Williamsburg,40769,36.736489,-84.162375,0.662790698,23,1038,1844,33107,8407
University of California-Santa Cruz,Santa Cruz,95064-1011,36.997258,-122.067993,0.557247035,26,1149,16277,33036,16500
University of California-Berkeley,Berkeley,94720,37.871969,-122.260423,0.160201675,32,1382,27126,33020,13597
Central Methodist University-College of Liberal Arts and Sciences,Fayette,65248-1198,39.150534,-92.685276,0.605348989,23,1050,1175,32970,12413
Howard Payne University,Brownwood,76801-2794,31.716345,-98.984956,0.821192053,21,976,1037,32965,11450
Holy Family University,Philadelphia,19114-2009,40.060414,-74.990365,0.732600733,20,925,1797,32954,22250
Keystone College,La Plume,18440-0200,41.558969,-75.777456,0.920489297,20,921,1431,32907,18191
Fontbonne University,Saint Louis,63105-3098,38.642697,-90.315712,0.906122449,23,1052,1121,32882,22875
Tuskegee University,Tuskegee,36088-1920,32.431021,-85.710315,0.492198009,22,978,2588,32853,21500
Coker College,Hartsville,29550,34.37709,-80.067713,0.508973439,21,992,1138,32818,18000
Reinhardt University,Waleska,30183-2981,34.318874,-84.554657,0.900170648,20,975,1317,32794,9500
Mount Saint Joseph University,Cincinnati,45233-1670,39.094519,-84.640143,0.876237624,22,1005,1463,32785,21365.5
University of Pikeville,Pikeville,41501,37.478835,-82.520265,1,21,966,1329,32707,10500
Hardin-Simmons University,Abilene,79698-0001,32.476786,-99.733815,0.567994505,23,1037,1576,32694,17846
Dakota Wesleyan University,Mitchell,57301-4398,43.695995,-98.030566,0.734254992,23,1044,765,32693,19250
Grand View University,Des Moines,50316,41.620909,-93.605016,0.987046632,21,967,1977,32667,18750
Shorter University,Rome,30165,34.258192,-85.196213,0.690700809,20,951,1449,32664,24250
University of California-Davis,Davis,95616-8678,38.539895,-121.751958,0.403680029,28,1226,27547,32638,12999
Trevecca Nazarene University,Nashville,37210,36.142115,-86.753566,0.730806608,23,1066,1609,32604,14412.5
Visible Music College,Memphis,38103,35.14455,-90.049231,0.239766082,23,1031,112,32600,19500
Ouachita Baptist University,Arkadelphia,71998-0001,34.125045,-93.052442,0.706120092,25,1112,1455,32560,15000
Alverno College,Milwaukee,53234-3922,42.983518,-87.965498,0.651908397,20,930,1689,32528,24250
Spalding University,Louisville,40203-2188,38.2415,-85.758851,0.457115928,21,967,1227,32509,17500
Campbellsville University,Campbellsville,42718-2799,37.343342,-85.348943,0.727170659,21,964,2119,32456,10000
Piedmont College,Demorest,30535-0010,34.56663,-83.543216,0.575452716,21,968,1286,32397,15411
University of Saint Francis-Fort Wayne,Fort Wayne,46808-3994,41.087772,-85.173694,0.968553459,22,981,1796,32377,19125
Huntingdon College,Montgomery,36106-2148,32.350939,-86.285313,0.583855254,22,1026,1149,32370,16701.5
Mount Aloysius College,Cresson,16630-1999,40.459948,-78.601358,0.739821883,18,913,1565,32332,15515
Claflin University,Orangeburg,29115-4498,33.497367,-80.854368,0.437655146,17,806,1779,32305,22335.5
Missouri Baptist University,Saint Louis,63141-8698,38.642017,-90.462606,0.602312139,21,984,1706,32293,15000
Freed-Hardeman University,Henderson,38340-2399,35.440073,-88.639418,0.933908046,25,1117,1310,32282,19500
Columbia International University,Columbia,29203-1513,34.081233,-81.069502,0.332161687,21,1035,552,32220,14500
Evangel University,Springfield,65802-2125,37.220956,-93.262614,0.645316253,23,1055,1788,32183,15601
Liberty University,Lynchburg,24515,37.350345,-79.179688,0.223177678,23,1040,49340,32077,12210.5
University of California-Los Angeles,Los Angeles,90095-1405,34.068892,-118.443901,0.185573801,30,1330,29627,32074,15000
Johnson C Smith University,Charlotte,28216-5398,35.243384,-80.854842,0.422520389,17,808,1375,31993,20500
Gallaudet University,Washington,20002-3695,38.907371,-76.993675,0.653225806,18,849,1001,31988,12000
North Park University,Chicago,60625-4895,41.9751,-87.709142,0.54613936,22,1025,2181,31964,18000
Friends University,Wichita,67213,37.678495,-97.366666,0.613803231,22,1029,1339,31952,20500
Conception Seminary College,Conception,64433-0502,40.24044,-94.682831,1,24,1105,86,31890,19500
University of California-Merced,Merced,95343-5603,37.366237,-120.424944,0.671809688,23,1031,5884,31883,15000
Newman University,Wichita,67213-2097,37.672306,-97.378803,0.528103518,24,1076,1182,31874,15500
Berea College,Berea,40404-2182,37.573334,-84.289332,0.336567617,25,1125,1577,31870,5428
Capitol Technology University,Laurel,20708,39.047047,-76.851413,0.704960836,21,1075,406,31864,17750
Chaminade University of Honolulu,Honolulu,96816-1578,21.290274,-157.807642,0.85620915,21,958,2017,31860,12500
Southeastern University,Lakeland,33801-6034,28.031864,-81.918997,0.439447384,21,965,2946,31855,12229
MacMurray College,Jacksonville,62650-2590,39.730226,-90.22175,0.783653846,21,970,546,31846,19500
University of Pittsburgh-Pittsburgh Campus,Pittsburgh,15260,40.444502,-79.954692,0.574157567,29,1194,18474,31828,21500
Aurora University,Aurora,60506-4892,41.754465,-88.349469,0.811020232,22,1010,3199,31767,15000
East Texas Baptist University,Marshall,75670-1498,32.554545,-94.374337,0.55994978,20,952,1183,31716,11999
Union College,Barbourville,40906-1499,36.869066,-83.887982,0.75234657,21,970,833,31709,11322.5
Saint Augustine's University,Raleigh,27610-2298,35.785032,-78.621806,0.74025974,16,740,1016,31636,15500
Chowan University,Murfreesboro,27855,36.436258,-77.099141,0.598106509,15,773,1478,31573,9500
Toccoa Falls College,Toccoa Falls,30598,34.59554,-83.353462,0.370497427,21,970,807,31415,15556
Waldorf College,Forest City,50436-1713,43.262203,-93.640034,0.688502674,19,913,1356,31369,11490
University of Charleston,Charleston,25304,38.332577,-81.618667,0.60772244,21,988,1513,31350,11000
Lincoln Memorial University,Harrogate,37752-9900,36.581284,-83.658818,0.743712056,23,1055,1622,31299,13593
Belmont Abbey College,Belmont,28012-1802,35.261276,-81.041847,0.692307692,21,1000,1545,31278,18850
University of Mobile,Mobile,36613-2842,30.793247,-88.128934,0.584737364,22,1014,1460,31220,21950
Kentucky Wesleyan College,Owensboro,42301,37.744667,-87.121984,0.607175713,22,1021,691,31040,12500
Lindenwood University,Saint Charles,63301-1695,38.788203,-90.502825,0.528835691,23,1038,7986,30929,18750
Waynesburg University,Waynesburg,15370-1257,39.899419,-80.18727,0.835635359,23,1008,1501,30780,22066
University of Valley Forge,Phoenixville,19460-2373,40.118341,-75.54864,0.930434783,22,941,711,30612,19000
Bryan College-Dayton,Dayton,37321,35.495721,-85.016596,0.484210526,23,1065,1124,30569,9000
Sterling College,Sterling,67579,38.219783,-98.209966,0.443708609,21,978,701,30471,13682.5
North Central University,Minneapolis,55404-1391,44.969389,-93.261429,0.911971831,23,1062,928,30203,18627.5
University of California-Riverside,Riverside,92521,33.97588,-117.331098,0.582920141,25,1128,18784,30174,17000
Colorado School of Mines,Golden,80401,39.75079,-105.227148,0.364748784,30,1333,4383,30154,23000
University of California-San Diego,La Jolla,92093,32.876598,-117.237793,0.332874959,30,1313,24801,30092,17382.5
Southern Virginia University,Buena Vista,24416,37.740669,-79.350296,0.470728793,23,1056,703,30009,10875
Xavier University of Louisiana,New Orleans,70125-1098,29.964162,-90.107307,0.659853646,23,1039,2313,29988,16750
University of New Hampshire-Main Campus,Durham,03824-3547,43.134235,-70.934512,0.798864732,25,1102,12591,29916,23000
Southwest Baptist University,Bolivar,65613-2596,37.601603,-93.410451,0.618453865,23,1070,2477,29870,14492
Kentucky Christian University,Grayson,41143-1199,38.339002,-82.946883,0.477426637,21,966,547,29825,9500
Finlandia University,Hancock,49930-1832,47.12709,-88.589392,0.454545455,19,910,464,29789,16250
University of California-Irvine,Irvine,92697,33.648434,-117.841248,0.374201308,26,1168,24474,29759,15000
Miami University-Oxford,Oxford,45056,39.509642,-84.731821,0.658353425,28,1240,15454,29701,16500
Washington Adventist University,Takoma Park,20912,38.987206,-77.00131,0.449152542,20,854,790,29547,24000
Oklahoma Christian University,Edmond,73013-1100,35.609042,-97.468312,0.640111163,25,1127,1938,29488,15000
Lubbock Christian University,Lubbock,79407-2099,33.576273,-101.934816,0.943236715,22,1010,1406,29481,17750
Tennessee Wesleyan College,Athens,37303,35.444939,-84.592647,0.666666667,22,1002,981,29397,14250
Warner University,Lake Wales,33859-8797,27.825751,-81.599972,0.260034904,18,863,1011,29323,16000
The College of New Jersey,Ewing,08628-7718,40.268742,-74.777412,0.489713815,27,1213,6407,29303,21500
Lincoln College,Lincoln,62656,40.157141,-89.360552,0.5624,25,1125,1184,29217,9500
St Mary's College of Maryland,St. Mary's City,20686-3001,38.188615,-76.425706,0.7886873,26,1188,1668,29172,17217
Flagler College-St Augustine,Saint Augustine,32084,29.89335,-81.315256,0.47881549,23,1058,2767,29138,16000
University of Illinois at Urbana-Champaign,Champaign,61820-5711,40.108864,-88.230309,0.590419295,29,1326,31875,29086,19000
North Greenville University,Tigerville,29688-1892,35.069758,-82.37026,0.594594595,26,1152,2183,29053,11000
Eureka College,Eureka,61530,40.713042,-89.268952,0.644833948,23,1053,652,28945,19500
University of Colorado Boulder,Boulder,80309-0017,40.004415,-105.267061,0.841605435,27,1207,25873,28887,14000
Summit University of Pennsylvania,Clarks Summit,18411-1250,41.496219,-75.683551,0.864864865,22,1004,570,28867,12000
Grace University,Omaha,68108-3629,41.244723,-95.92789,0.446153846,24,1064,387,28826,8750
Pennsylvania State University-Penn State Altoona,Altoona,16601-3777,40.540682,-78.409112,0.626517667,22,1089,3829,28799,20950
Lourdes University,Sylvania,43560-2898,41.708694,-83.706649,0.645507813,20,950,1449,28789,19904
Pennsylvania State University-Penn State Erie-Behrend College,Erie,16563-0001,42.120271,-79.986362,0.626517667,23,1089,3891,28674,20950
Clearwater Christian College,Clearwater,33759-4595,27.963556,-82.697305,0.619217082,21,974,409,28527,9980
University of Jamestown,Jamestown,58405,46.915402,-98.697209,0.643623361,26,1178,866,28522,16200
Lancaster Bible College,Lancaster,17601-5036,40.074375,-76.287781,0.594637224,21,996,1336,28517,11838
Presentation College,Aberdeen,57401-1280,45.482833,-98.49077,0.569536424,21,980,705,28361,14125
University of Vermont,Burlington,05405-0160,44.479262,-73.198128,0.734411753,27,1191,9958,28348,17806
College of William and Mary,Williamsburg,23187-8795,37.271997,-76.709417,0.330195162,31,1373,6256,28329,19000
New Jersey Institute of Technology,Newark,7102,40.741997,-74.177113,0.63387063,26,1168,6748,28225,17000
York College Pennsylvania,York,17403-3651,39.946709,-76.727266,0.454878847,23,1050,4720,28152,21250.5
Southwestern Adventist University,Keene,76059,32.397136,-97.328511,0.496488764,19,905,726,28054,13831.5
Ohio Valley University,Vienna,26105-8000,39.31236,-81.5392,0.323485968,20,944,387,28026,12500
Bacone College,Muskogee,74403-1597,35.77707,-95.335337,0.42962963,18,845,939,28010,9500
Northern Illinois University,Dekalb,60115-2828,41.933791,-88.766065,0.508882608,22,1030,15391,27959,16500
Pennsylvania State University-Penn State Berks,Reading,19610-1016,40.357987,-75.972141,0.626517667,22,1089,2699,27877,20950
Brescia University,Owensboro,42301-3023,37.768989,-87.111533,0.49268033,23,1039,1003,27812,14250
Bryn Athyn College of the New Church,Bryn Athyn,19009-0717,40.131358,-75.06093,0.580213904,20,900,271,27788,10863
Virginia Union University,Richmond,23220,37.561864,-77.450954,0.238898314,16,776,1322,27703,15250
Marygrove College,Detroit,48221-2599,42.414415,-83.154109,0.484182777,17,800,881,27622,14250
Cincinnati Christian University,Cincinnati,45204-3200,39.112396,-84.554752,0.585062241,21,969,602,27591,16865
Ramapo College of New Jersey,Mahwah,07430-1680,41.007523,-74.116384,0.533213913,23,1082,5447,27561,19000
Saint Joseph's College-New York,Brooklyn,11205-3688,40.690485,-73.968037,0.70734127,23,1031,3985,27542,18750
Virginia Commonwealth University,Richmond,23284-2512,37.547631,-77.453597,0.753452537,24,1105,22280,27494,18790
Pennsylvania State University-Penn State Harrisburg,Middletown,17057-4846,40.205234,-76.741961,0.626517667,23,1089,3595,27487,20950
Mississippi College,Clinton,39058,32.334565,-90.330452,0.630414313,25,1120,2942,27468,16750
Truett-McConnell College,Cleveland,30528,34.594437,-83.745972,0.963265306,21,971,729,27467,10707.5
The University of Tennessee-Knoxville,Knoxville,37996,35.955093,-83.929696,0.748283901,27,1198,21396,27450,14500
Temple University,Philadelphia,19122-6096,39.980943,-75.158267,0.617338466,25,1125,27669,27202,21500
Regent University,Virginia Beach,23464,36.800929,-76.192844,0.798188875,23,1066,2273,27182,15500
Huston-Tillotson University,Austin,78702-2795,30.264672,-97.721698,0.596963761,17,814,972,27133,13000
Bethune-Cookman University,Daytona Beach,32114-3099,29.210193,-81.031429,0.637096774,17,803,3897,27130,16000
Point University,West Point,31833,32.879715,-85.185134,0.518867925,19,917,1399,27053,19219
University of Mount Olive,Mount Olive,28365-0919,35.206314,-78.071265,0.4685021,19,902,3258,26982,17750
University of Connecticut,Storrs,6269,41.806261,-72.247969,0.503354871,28,1228,18016,26966,18750
Pennsylvania State University-World Campus,University Park,16802-1503,40.832677,-77.841657,0.626517667,25,1089,5736,26905,20950
College of the Ozarks,Point Lookout,65726-0017,36.616019,-93.238174,0.083064279,23,1074,1433,26900,20950
Wilberforce University,Wilberforce,45384-1001,39.707993,-83.879358,0.375389408,15,735,364,26890,14420
Rochester College,Rochester Hills,48307,42.667521,-83.144959,0.405867971,21,972,976,26820,14336.5
Florida College,Temple Terrace,33617,28.034911,-82.383446,0.765895954,23,1063,555,26750,9892
Dillard University,New Orleans,70122,29.996468,-90.065348,0.405893846,19,886,1200,26606,26527
Pennsylvania State University-Penn State Hazleton,Hazleton,18202-8025,40.984157,-76.031567,0.626517667,21,1089,803,26567,20950
Kuyper College,Grand Rapids,49525-9781,43.02195,-85.592657,0.706467662,22,1030,264,26557,15460
Washington State University,Pullman,99164-5910,46.730448,-117.158168,0.820783234,22,1030,23585,26543,14750
Harding University,Searcy,72143,35.249605,-91.729008,0.991185544,25,1131,4485,26484,19500
University of Rhode Island,Kingston,2881,41.484691,-71.527356,0.768102089,24,1077,13205,26452,18500
Lincoln Christian University,Lincoln,62656-2111,40.148897,-89.34582,0.475770925,22,1006,553,26434,19250
The University of Alabama,Tuscaloosa,35487-0166,33.2144,-87.545766,0.5104636,27,1185,29851,26400,17375
Manhattan Christian College,Manhattan,66502-4801,39.185764,-96.579018,0.590909091,22,1030,289,26300,12000
Illinois State University,Normal,61790-1000,40.509724,-88.99234,0.738789384,24,1110,18056,26259,18000
